landlord,country_code,city,state,zip,review,repair,health,stability,privacy,respect,date_added,flagged,flagged_reason,admin_approved,admin_edited
PHIL LAM,CA,KINGSTON,ONTARIO,K7K,Disrespectful and inappropriate in every imaginable way,1,1,1,1,1,2023-04-11T23:57:29.611Z,false,fake name of the person,,false
EQUITON,CA,KINGSTON,ONTARIO,K7K5S9,,2,2,5,5,3,2023-04-12T00:04:55.250Z,false,Lack of information for the rating received.,,false
JASON YEUNG,CA,EDMONTON,Alberta,T6M2X3,Jason Yeung is a liar and will do anything to screw his tenants over. Takes no responsibility. Plays dumb when you ask him direct questions. Avoids ever giving clear responses. Seems socially challenged ,1,1,1,1,1,2023-04-11T22:01:53.080Z,false,Wrong province,true,true
RUSSELL BROOKS,US,MANASSAS,VIRGINIA,20109,Replaced the broken stove within 24 hours. Hasn't raised rent.,5,5,5,5,5,2023-04-19T15:38:58.898Z,false,,,false
PLATINUM PROPERTY,CA,EDMONTON,Alberta,T5G0J7,,1,2,2,2,1,2023-04-11T20:39:48.999Z,false,Wrong province,true,true
ANITA TO,CA,TORONTO,ONTARIO,M2N0B6,"Wonderful landlord, would love to rent from her again in the future",5,5,5,5,5,2023-02-27T13:23:42.862Z,false,Faked review,true,false
DAPHNE DEAN,CA,KINGSTON,ONTARIO,K7L2J6,,2,3,3,1,1,2023-04-11T21:42:01.763Z,false,The person should have included a description. It is unclear why the rating is low without offering up supportive reasoning. ,,false
BOARDWALK ,CA,EDMONTON ,Alberta,T5K0Z8,Several things were broken when we moved in (we were told they’d be fixed prior to move in date) and never got repaired during our 1 year lease. Always smelled like a hospital and building manager was never available. ,1,3,4,2,2,2023-04-11T21:55:20.273Z,false,Wrong province,true,true
SINGH PROPERTIES,US,BELLINGHAM,WASHINGTON,98226,Super communicative. Always responds quickly to any maintenance or repairs. Doesn’t raise rent every new contract.,5,5,5,5,5,2023-04-19T15:39:01.825Z,false,,,false
ROMAIN DOMPNIER ET ROSINE FAUCHER,CA,VERDUN,QUEBEC,H4G2Y9,"THE ABSOLUTE BEST!!! Honest, fair and all-around chill peeps. Honestly, anyone would be lucky to have them as landlords.",5,5,5,5,5,2023-04-19T15:39:36.027Z,false,,,false
FRED MONETA,CA,TORONTO,ONTARIO,M5S2K9,"The house was very disgusting. There was a black fly infestation and mold in the bathroom. The landlord also showed up without notice all of the time and never gave notice. I decided to leave early because of these issues. I still payed out my two months noticed and was told that he would look for someone for those months. I was not allowed to advertise the place myself. He did not look and instead signed a new lease for after my two month notice, so I had to pay double rent. Overall while the house is in a really nice location not worth all the hassel. It is also extremely overpriced since all you get is a bedroom and a tiny kitchen and bathroom. Nothing is updated and while a cleaner does come in once a month everything is so old it's just permanently grungy and dirty.",2,1,1,1,3,2023-03-28T14:14:13.544Z,false,,,false
BAOLING LIANG,CA,TORONTO,ONTARIO,KOREATOWN/ANNEX,Horrible communication. Refusal to make any repairs or address any of our concerns. They seem to be hoping that we will give up if they continue to ignore us.,2,1,1,2,2,2023-03-30T00:02:32.397Z,false,,,false
CARMELTIA DELONG,US,TEMPE,ARIZONA,85282,"Carmelita will show up whenever she pleases with less than 24 hours notice to run loud landscaping equipment and leave trash and materials in the yard. She hooks you with seemingly low rent but the house is unfinished, dirty, and (before I taped up the rotten, rusted plumbing fixtures) it was crawling with sewer roaches and crickets. I left the room cleaner and in better repair than when I moved in and she still charged me cleaning fees. She also charged me for a smoke detector. But there was never a smoke detector when I moved in. She ignored my emails about these fees. I was late on rent and she took it personally. It was incredibly unprofessional and I ended up leaving the property early on the mutual agreement that I would be out by the end of the month and she would not evict me or charge me any additional fees. I'm glad I left because it sounds like she gave the other tenants only a month to find other accommodations because she intends to sell the house. You can hear every breath and sigh and cough and fart and moan through the vents. It is not a proper space for adult housemates. The kitchen odors exhaust throughout the house too so expect your bedding and clothing to reek of cooking oil. The floors were unfinished. Her maintenence crew left ladders and construction trash and supplies in big, ugly piles all over the yard. The showers are poorly built so the water pools in a corner and leaks into the foundation. I could go on. That house needs a ton of work. I hope whoever buys it hires a competent inspector so they know what they're in for. The day I moved out, Carmelita decided I had to be out by 9am. Nowhere in the lease does it say this and the remaining tenants were fine with me finishing packing and leaving in the evening. I was waiting for the moving truck. The lease said keys must be returned at 9am, which we did. She made me leave the house without my things and coordinate with the other housemates to return in the evening, despite us already having coordinated, and despite me planning to have a couple more hours to pack. I understand late payments are troubling to landlords but it isn't personal. She made statements about my character and accused me of lying when I was extremely communicative the entire time. All of that was unnecessary and unprofessional. Carmelita doesn't think of these rooms and houses as your home. She thinks of renters as revenue streams to exploit and belittle and that's it. She constantly made emotional statements rthat made me feel unwelcome in my own home. That's completely uncalled for and quite nasty. I'm sure she'll sell this place for a lot of money and retire very well off. I hope her existing tenants found safe, clean, affordable housing with a respectful landlord. I hope she does completely retire and sells her other properties. She has no business dealing with people. Stay away from CSD2 Properties.",2,1,2,1,1,2023-03-29T22:58:56.734Z,false,,,false
ANDREA RAMIA,CA,HALIFAX,NOVA SCOTIA,B3K1T4,Didn't return deposit.,1,3,3,1,1,2023-03-29T23:02:11.439Z,false,,,false
ALLEN KALKSTEIN,US,SAN DIEGO,CALIFORNIA,92105,"Disgusting slumlord. Pink apartments off Highland. Mold, security issues, and rude af.",1,1,2,1,1,2023-03-29T23:04:32.571Z,false,,,false
BLAINE ANDERSON,US,COLLEGE STATION,TEXAS,77840,"Do not go to Berkshire Hathaway home service caliber in college station. They write unreasonable leases, enter without proper notice and evict you for the place being messy when you still have a month left on your lease. ",1,1,1,1,1,2023-03-29T23:09:29.377Z,false,,,false
MAISON PROPERTIES LLC,US,ROCHESTER,NEW YORK,14607,"We had mice in the walls, they took a long time to do anything about it and when we found they had been pooping in our stove acted like that wasn't a health concern. We later took them to claims court because when we were moving out in a hurry, even though during the walk through they said everything was fine, they withheld the security deposit. We won but then because they refused to disclose their bank I could not claim the money. 

The apartment obviously hadn't been taken care of. Renters beware, they have nice employees who will turn on you the minute you do something against them",2,1,1,3,1,2023-03-29T23:11:19.370Z,false,,,false
LIGHTHOUSE REALTY,CA,LANGLEY,BRITISH COLUMBIA,NA,My landlord made promises regarding renovations prior to my moving in and fulfilled none of them.  When I kept on them to replace my hot water tank (that provides less than 3 minutes of hot water) they threatened to evict me.  They raise the rent the legal maximum at each.  The property manager has even come into my workplace to scream at me for feeding crows.,1,1,3,2,1,2023-03-29T23:14:04.469Z,false,,,false
HUAPENG CHENG,CA,VICTORIA,BRITISH COLUMBIA,V8N2P2,Extreme communication problems such as constantly telling that people would come to see the rooms when nobody actually comes. Very pushy about constantly showing the rooms and renting them to teenagers who did not follow the lockdown rules during the COVID19 lockdowns. Does not care about putting renters health at risk and abuses the vulnerability of international students. ,1,1,1,1,1,2023-03-29T23:17:53.250Z,false,,,false
ELIZABETH WINZELER,US,DOVER,NEW HAMPSHIRE,03820,"Landlord entered apartment while I was not there and also had frequent inspections under the cover of ""taking measurements"". She frequently accused me of bizarre acts like starting fires inside the apartment and commented on the contents of my refrigerator (declaring that meat must be kept in the freezer compartment only). Once I caught her peering into my windows at 10pm. She ran away when I saw her and then claimed she was ""inspecting the area around my apartment for fallen branches""...at night...in pitch black...with no flashlight. 
When I moved out she tried to keep the entire security deposit, had to bring her to small claims court to get it back. ",4,3,3,1,1,2023-03-29T23:20:10.214Z,false,,,false
KATHY VUKOBRAT,CA,ST. CATHERINES,ONTARIO,NORTHEND,Amazing lady. Once offered me a rent reduction while the backyard was unusable because of her dog needing the space but I’m already paying half the market rate of the unit. This review probably will never matter because I’m never going to move out but I just want to say something about the only decent landlord in Canada.,4,5,5,5,5,2023-03-29T23:21:49.864Z,false,,,false
JERMAINE COUSINS,CA,ETOBICOKE,ONTARIO,ETOBICOKE,"Buys buildings, evicts the tenants by first making it so awful they leave, when that fails he evicts them for ""personal use"". ",1,1,1,1,1,2023-03-29T23:23:17.432Z,false,,,false
CHRISTOPHER SHONNARD,US,CORVALLIS,OREGON,CORVALLIS,"I have nothing but great things to say about Mr Shonnard. All maintenance issues were addressed promptly, and he was communicative and professional. My deposit was returned in-full within a week of vacating. The property itself wouldn’t get the most stellar review, it was very old, and therefore had poor insulation and lots of quirks. It’s obvious though that he keeps up with repairs as best as he can which was much appreciated. ",5,5,5,5,5,2023-03-29T23:26:19.043Z,false,,,false
ROI PROPERTY MANAGEMENT ,US,TRIANGLE,VIRGINIA,22172,Not very good but it's about par for most property management companies. They will raise your rent every year using that AI app without improving your apartment so be aware.,3,3,3,5,3,2023-04-11T21:11:36.265Z,false,,,false
SUNREX ,CA,WINNIPEG,MANITOBA,R3L0J2,"Mice, mold, and cracked ceilings that looked like they would give at any second. Landlord was late returning my damage deposit, and back dated the cheque so they didn’t have to pay double. (Which is the law) ",1,1,4,4,2,2023-04-11T21:16:16.996Z,false,,,false
PARAGON ,CA,WINNIPEG,MANITOBA,R3L0J2,"Professional, kind, and quick to answer any repair needs. There is constant communication about what’s going on in the building and everything is handled very quickly. We love our place with them! ",5,5,5,5,5,2023-04-11T21:18:30.844Z,false,,,false
EXARIS PROPERTIES,US,ST. LOUIS,MISSOURI,SOUTHCITY(BEVO),"I'm rating my property management company my landlord uses, the couple of times I've actually spoken with whoever owns my house has been reasonable. Also, they are now Exaris Properties but used to go by the name BDN Properties. The property manager for this rental is terrible. Sometimes he's on the ball with stuff and has sent maintenance out right away with no ticket, but sometimes repairs never get done no matter how many times you report it over the years. This is not just minor repairs either, I'm referring to holes in the ceiling. Often requests are just closed with no communication, and you're not always notified by email; there's a backdoor someone can use to just delete the request out of your tenant portal forcing you to submit a new one. Even with communication directly to the property manager this continues to happen

Our central heating unit has broken multiple times over the past 2 years despite working fine the first 3 years we were here. We were left with no heat in the middle of January over a weekend, after being told they could get it fixed over the weekend; also not the first time a repeated problem was promised to be repaired once and for all and maintenance simply did not show up.

I have asked them to spray for bugs outside the perimeter of the house because we've had a repeated bug problem especially in the summer since living here. They sprayed the inside once, and it didn't help, so I haven't asked them to do the inside again. The requests have been ignored and closed with no acknowledgement. I've taken the issue into my own hands and put glue traps around the problem areas, and spray the outside with raid

I have had maintenance enter the house after knocking, and almost walked in on someone showering. I tried to discuss this situation to make sure this didn't happen again. He said ""The tech was in the area and wanted to pop in to get it done"" No guarantee was given that this wouldn't happen in the future, and I'm not even sure that is legal

The one thing I can give them praise on is the rent/fees (or lack of). I pay a reasonable rent for the size of my house, and haven't had an increase in 5 years. Never had a surprise fee or anything like that",1,1,5,2,1,2023-03-29T23:29:23.950Z,false,,,false
BROOKSIDE APARTMENTS/C&R REAL ESTATE ,US,MILWAUKE,OREGON,JOHNSONCREEK,"This property management company tried to charge us for normal wear and tear. Luckily, Oregon law prevents this and a quick court filing negated their fraudulent claim.

Manager would stand outside your apartment to stare at your microscopic deck and windows for perceived violations of aesthetics (i.e. Halloween decorations up, a pirate flag, soil from planting the previous weekend, plant pots that weren't mounted, etc.) 

Although assigned parking, people would park in our spot all the time and managers never helped us.

Geese live by the creek and fly on the roof to honk and nest. 

They keep tearing down trees by the creek, allowing more noise from the factory and traffic across the water. 

The manager tells you it's cool to smoke by the creek or off the property but several neighbors received a fine when spotted. 

24hr entry notices for maintenance really meant ""sometime this month"". Once, a Verizon tech was in the apartment unexpectedly, without a mask during the pandemic. When I asked him to leave because I didn't receive proper notice, nor did I request service, I was threatened with eviction.

Then the owners thought they should install new windows and siding without giving clear information about the procedure and what to expect. Workers played loud music and left supplies and equipment in common areas where people walk and get into their cars. New siding is ugly; we enjoyed the ochre color but now it's boring gray.

Overall, the experience was terrible and when they raised the rent 9.75% (just below the 9.9% limit that requires landlords to pay for relocation costs), we were out of there. We never once missed rent during the pandemic, as we have essential jobs. 

Please find somewhere else to live. ",1,1,1,1,1,2023-03-29T23:30:44.291Z,false,,,false
ADAM KATZ,US,BROOKLYN,NEW MEXICO,FLATBUSH,"Good guy, genuinely. Raised my rent in line with the neighborhood. ",4,3,5,4,4,2023-03-29T23:32:04.422Z,false,,,false
TINA ALLEN,US,MAMMOTH LAKES,CALIFORNIA,OLDMAMMOTH,"We are suing her in small claims court. She did not return our security deposit within a timely manner. Tried to verbally evict us with less than 30 days notice, then later with less than 60 days notice she kicked us out via text message because she wanted to move into the unit. Was extremely disrespectful and rude via text message and in person, especially when we applied for Covid rent relief assistance- called us ""scam artists."" Very slow to respond to reasonable repair requests. Blamed us for normal wear and tear to unit, as well as water heater issues that we did not cause. Did not use a standard legal lease, and it took her over 6 months to get us a copy of it; did not include legally required notices and disclosures. She clearly is not educated about the law, landlord-tenant relations, or about her responsibilities as a business owner.",1,1,2,4,1,2023-03-29T23:33:37.569Z,false,,,false
NORTHPOINT PROPERTIES,CA,HALIFAX,NOVA SCOTIA,WAEGWOLTIC,"Since I was moving from out of town I only had pictures to go by, they were deceptive. Should've been a red flag as they approved me right away. Place full of cobwebs and spiders when I moved in. No fan in the bathroom and unfinished wall behind the radiators, ignored when I told them this is against building code. Bugs keep coming in through the cracks. The ""apartment"" is a little space next to the electrical rooms that they decided to paint and try (failed) to make livable.",2,2,2,3,3,2023-03-29T23:35:07.890Z,false,,,false
JIM RAND,US,BALTIMORE,MARYLAND,WAVERLY,"Jim and Elise are ok. They respond in a timely manner and the rent is reasonable for the area. We used to have a pest problem in our place they refused to acknowledge until we got the city involved. The lease does not allow any parties, which is strange but I've had people over without any issue. They're usually good about letting us know in advance if they're coming by but there have been times where they haven't.",4,2,4,2,3,2023-03-29T23:36:51.048Z,false,,,false
ROCCO SCIARAFFA,US,BOSTON,MARYLAND,EAST,"Decent landlord, actually affordable housing.
",4,5,5,1,5,2023-03-29T23:38:18.469Z,false,,,false
JACQUES SAULNIER,CA,HALIFAX,NOVA SCOTIA,SOUTHEND,This landlord took advantage of many students by making them pay more than 1/2 months rent for a damage deposit (on the basis that he needed extra since the place came furnished). You will never see that damage deposit again. He will scam people in any way possible and bank on the fact that you won't go through the effort of going to the Residential Tenancies board. He also won't get back to you about issues on the property. Absolute SCUM. DO NOT RENT FROM HIM.,1,3,1,4,2,2023-03-29T23:40:09.203Z,false,,,false
CHARLES (CHIP) YOUNG,US,PITTSBURGH,PENNSYLVANIA,NA,,1,3,3,2,1,2023-03-29T23:41:53.869Z,false,,,false
JONATHAN ZHAO,CA,OTTAWA,ONTARIO,OLDOTTAWA(EAST),Was completely mislead into renting this apartment. Not a true 1 bedroom as back wall is paper thin which allows even quietest noises from other 4 person bedroom unit to radiate into the apartment. Avoid at all costs. ,1,1,1,1,1,2023-03-29T23:43:01.204Z,false,,,false
VALLEY RENTAL COMPANY,US,NORTHHAMPTON,MASSACHUSETTS,SOUTHSTREET,"Valley Rental has ripped up multiple tenants' gardens with no notice for 'beautification' on at least two occasions (replacing food and native plants with gravel and shrubs that died within two weeks and were not replaced). Repairs on the upstairs unit took months, were incredibly loud and disruptive late into the night, and resulted in burst pipes on at least three occasions, which destroyed property and rained mouse droppings and mold into the kitchen and two bedrooms. This was at least partially due to their refusal to hire an actual plumber to do the plumbing. They do not provide notice before showing up to give tours. If you don't have to, don't rent from these people. 
",1,1,2,1,3,2023-03-29T23:44:32.962Z,false,,,false
DUNCAN MACADAMS,CA,HALIFAX,NOVA SCOTIA,WATERLOOSTREET,"Maintenance requests have no formal process for submission and you’d be lucky to have your issue dealt with after reaching out 3 or more times. Rent they charge is extortionate based on the number of roommates you’ll be living with, regardless of how convenient the location is for students. His properties are old and in disrepair - some aren’t even capable of running two heaters at the same time without the power getting tripped, and those space heaters will be your only source of heat during the cold seasons. There are leaks in the roof as well. Do yourself a favour and Google him: dude has been taken to small claims court twice in the past five years, with the court ruling against him both times, and that’s just the tenants who bothered to take legal action.",1,1,3,2,1,2023-03-29T23:47:16.288Z,false,,,false
SPICE CART LIVING (MANAGEMENT) ,CA,TORONTO,ONTARIO,FORRESTHILL,"The building is falling a part, and property management deletes service tickets without replying. The 24-hour emergency contact information is just their office number and they never answer the phone. If you're prepared to live without heat, with mould and be ignored, then maybe live in one of their buildings. And the laundry machines break every week.  Otherwise, there are units that charge just as much in this city that are much more inhabitable than Spice Cart Management / Living ",1,2,4,1,1,2023-03-29T23:48:19.766Z,false,,,false
LIYUAN (WINNIE) HOU,CA,RICHMOND HILL,ONTARIO,L5H2P4,"Horrible landlord with extremely poor communication. She does not go by any laws and literally does whatever she feels like. She does not respond or provide any written notices, everything is through WeChat messages or voice clips. She ""does not believe in written agreements"" and this is where I fell into this scam because we did not sign an agreement so there was never clear details to the terms of the rent. When you inquire about the room, she will tell you there are no rules, that you can leave any time no strings attached, that she is very open and approachable and she will try to help you adapt to Canada. The longer you stay there, you will start to realize that she will impose more and more rules and restrictions leaving you no choice but to leave. When you try to leave, that's when she will tell you that the agreement is for one year and that you have to pay for her losses up to 1 year rent. This landlord rents our rooms to students new to Canada and she specifically targets these people to take advantage of them. I was a victim of this and I would absolutely recommend anyone to avoid this place if you had any other choice. If this is your only option, please please make sure you ask for an agreement detailing the terms of the rent, make sure she will provide you with a lock and key to your room and make sure you understand all the rules before giving her your money.

Some things that I have experienced during my time there....

She invades my privacy by entering my room when I'm at school during the day, she does not allow me to use the kitchen to cook (after cancelling the meal plan with her), she does not provide the proper heating or cooling to my room (I literally need to walk around with a blanket or have my jacket on in the winter time or have a fan blowing on blocks of ice in the summer). She did not provide proper lighting to the room and does not even allow the light fixtures to have all the light bulbs installed. When I informed her that I will be ending the tenancy next month, she immediately kicked me out without any proper notice, literally sent a WeChat message and excepted me to leave within 1 week. She did not return any deposit or let me use my deposit towards a last months rent. She constantly harassed me and emotionally abused me via WeChat voice messages until I moved my belongings.

AVOID AT ALL COSTS",1,1,1,1,1,2023-03-29T23:50:00.512Z,false,,,false
DAN DIVMOSKI,CA,WINDSOR,ONTARIO,N9A2H9,"Landlord has let property fall apart. Fixes are all a Dollarama special if you manage to get anything fixed without filing a bylaw complaint. There are cockroaches and mice that they don't treat properly. Theres mold growing in the walls and laundryroom. Appliances don't work properly. Shower is leaking and was supposed to be replaced over 2 years ago. Theres no soundproofing you can hear the conversations of every other tenant. You unit will constantly smell of heavy cigarette smoke or meth from the neighbours. Landlord will not show up on time to conduct repairs or give proper notice. Landlord will cause problems between tenants by spreading lies about other tenants and blame them for his failure to be a good landlord. You'll want cameras in your home. Not a dime goes to matinence just in his pocket. Doesn't make crucial repairs for saftey, let the fire escape rot through and would not repair.",1,1,3,1,1,2023-03-29T23:51:42.102Z,false,,,false
BARBARA JONAS (JONAS APPLIANCES),CA,CAMBRIDGE,ONTARIO,WATERSTREET,Landlord refuses to evict indoor smokers and uses a tenant who causes problems for others as her repairsman for the past 7+ years,1,1,1,1,1,2023-03-29T23:52:49.343Z,false,,,false
ALI CHAMS,CA,LONDON,ONTARIO,NA,,1,1,2,1,1,2023-03-29T23:55:14.511Z,false,,,false
CHERYL BRANDON,CA,TORONTO,ONTARIO,ETOBICOKE,"Cheryl is your quintessential ""slumlord"". She refused to make needed repairs, citing she was ""too busy"", and repeatedly threatened us with eviction and venous litigation. Even after Toronto bylaw had ordered her to make repairs, she refused. She even refused to replace broken smoke detectors until she was ordered to by city fire inspectors. ",1,1,1,1,1,2023-03-29T23:56:16.485Z,false,,,false
JOSEPH FALLETTA,CA,ST. CATHERINES,ONTARIO,FACERSTREET,"Joseph and Annette Falleta are the worse landlords I've ever had in my life. 
The landlords coerced me to pay rent early and threatened to evict me if I didn't, and carried though with their threats with a fake n12. The rental complex has violent tenants that make noise and have overnight parties. The common area hallways in the building is saturated with cat urine, and cluttered with belongings from the tenant in unit 3. These landlords do not take complaints seriously about noise, violence. They do address maintenance issues and do remove bedbugs if need be. 
Joseph is a short tempered angry person that goes into rages. He even goes into rages at ltb hearings and has no regard for his tenants, the ltb staff or the RTA. My advice is to stay away from renting from them. ",3,1,2,1,1,2023-03-29T23:57:23.548Z,false,,,false
ELAINE PLATT,CA,TORONTO,ONTARIO,OVERBROOKPLACE,"Elaine Platt, and her family member Debra Platt are extremely unprofessional and unpleasant individuals. The lack of respect they have for the tenants and for their own building. No maintenance, just neglected and mean people. They will go out of their way to make you miserable and uncomfortable. Unfortunately there's landlords that shouldn't have that privilege or title. Awful experience renting from Elaine Platt at Overbrook Place, North York, ON Canada ",1,2,1,3,1,2023-03-29T23:58:25.279Z,false,,,false
SABASTIEN EMOND,CA,QUEBEC CITY,QUEBEC,VIEUX,"A terrible person who put my safety at risk several times, entered without notice or consent and began renovations, then used his status as a lawyer to sue for the rent during the time he was occupying and renovating. This man is a disgusting person who stomps on people. He has access to the neighbouring unit which he would rent to dangerous people who also attempted to break in. A corrupt bully of a human being. Avoid.",1,1,1,1,1,2023-03-30T00:00:32.067Z,false,,,false
METRO PROPERTY,CA,ST. JOHNS,Quebec,J3H0H5,"Landlord is good with responses, usually. Landlord is very good with replacing broken appliances covered under the agreement, and for general repairs. Landlord accidentally provided private information to a third party not on the lease (ex-tenant/roommate). Landlord gave six months notice for an upcoming rent increase, but is planning to increase the rent mid-fixed term agreement (new contract to be signed in mid 2022, rent increase is to take place end of year 2022, halfway through a new fixed term agreement), and also no circumstances other than greed caused the rent increase. Landlord purposefully misrepresented some information on the lease agreement regarding amount of pets present, and refuses to correct it to the correct amount of pets for unknown reasons. If when I move out they return the damage deposit (no damage caused) I would place them above average, if they don't I would say below average. Landlord does inform residents of workers coming to residence, however very rarely is it more than a couple of hours of notice at best. On some occasions they give proper notice, but then say they can show up in an hour to look today, otherwise it might be weeks later if you don't agree. Not a big issue with us, but might be an issue for other renters.",3,3,3,3,3,2023-02-27T13:18:57.730Z,false,Profanity,true,true
TONY,CA,MONTREAL,QUEBEC,H3T1C6,,2,2,2,4,2,2023-04-11T02:24:18.431Z,false,,,false
ORFUS REALTY,CA,TORONTO,ONTARIO,M3H1V1,"Abhorrent conditions and pitiful management.

Mr. Orfus is a disgusting slumlord.",1,1,2,2,1,2023-04-11T02:56:42.440Z,false,,,false
RANI BEHARRY,CA,TORONTO,ONTARIO,M5S2P9,"Owns multiple properties within the area, all varying degrees of liveable. Acts nice until you move in. Repairs are rarely completed by a professional unless you really fight for it, and she is impossible to convince to handle pest control, would always rather take the cheapest way out with no regard for tenants experience. Will threaten you if you push back for your basic legal tenant rights. 

Also takes advantage of young international students and at one point hosted 4 students in a tiny two bedroom basement apartment without firesafe windows.

She does not care for her tenants. Slumlord. 

Also is a doctor who isn't allowed to practice in Canada but does so anyways at her father's clinic under his name. Funny how tenants who apply have to jump through hoops when she is the landlord you apply to 

Avoid at all costs. ",1,3,1,3,1,2023-04-11T03:02:28.771Z,false,,,false
ONE ,CA,WINNIPEG,MANITOBA,R2R2G20,They suck ,1,2,1,1,5,2023-04-11T03:42:33.234Z,false,,,false
